,種別,知覚可能,操作可能,理解可能,堅ろう（牢）,JIS,ガイドライン(ヘルプ),達成方法,達成方法(ヘルプ),行番号,内容
0,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,231,"ページ内リンク ""#top_carousel""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
1,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,234,"ページ内リンク ""#top_carousel""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
2,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,471,"ページ内リンク ""#top_footer_carousel""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
3,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,474,"ページ内リンク ""#top_footer_carousel""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
4,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,589,"ページ内リンク ""#wrap""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
0,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,296,"ページ内リンク ""#top""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
1,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,470,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
0,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,1517,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
0,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,861,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
1,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,1205,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
2,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,1349,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
3,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,2211,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
4,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,2214,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
13,問題あり,-5,-5,0,0,"A: 1.1.1, A: 2.4.4","http://waic.jp/docs/UNDERSTANDING-WCAG20/text-equiv-all.html, http://waic.jp/docs/UNDERSTANDING-WCAG20/navigation-mechanisms-refs.html",H30,http://waic.jp/docs/WCAG-TECHS/H30.html,6864,"ページ内リンク ""#""　は、読み上げ可能なテキストを持たないため、音声アクセスできません"
